agent,waktu
Black,0.5095
White,0.5085
Black,0.5144
White,0.5180
Black,0.5227
White,0.5151
Black,0.5467
White,0.5196
Black,0.5408
White,0.5147
Black,0.5506
White,0.5116
Black,0.5345
White,0.5084
Black,0.5385
White,0.5148
Black,0.5510
White,0.5264
Black,0.5416
White,0.5214
Black,0.5594
White,0.5301
Black,0.5300
White,0.5306
Black,0.5927
White,0.5202
Black,0.5508
White,0.5227
Black,0.5558
White,0.5176
Black,0.5504
White,0.5189
Black,0.5592
White,0.5151
Black,0.5445
White,0.5199
Black,0.5453
White,0.5250
Black,0.5336
White,0.5270
Black,0.5330
White,0.5183
Black,0.5246
White,0.5182
Black,0.5150
White,0.5149
Black,0.5265
White,0.5161
Black,0.5154
White,0.5095
Black,0.5093
White,0.5070
Black,0.5204
White,0.5099
Black,0.5094
White,0.5079
Black,0.5095
White,0.5075
Black,0.5050
White,0.5027
